5%,10%,15%,20%,25%,30%,35%,40%,45%,50%,55%,60%,65%,70%,75%,80%,85%,90%,95%,100%
0.34,0.68,1.02,1.36,1.7,2.04,2.38,2.72,3.06,3.4,3.73,4.07,4.41,4.75,5.09,5.43,5.77,6.11,6.45,6.79
0.47,0.94,1.41,1.88,2.35,2.82,3.29,3.76,4.23,4.7,5.16,5.63,6.1,6.57,7.04,7.51,7.98,8.45,8.92,9.39
0.64,1.28,1.92,2.56,3.21,3.85,4.49,5.13,5.77,6.41,7.05,7.69,8.33,8.97,9.62,10.26,10.9,11.54,12.18,12.82
0.86,1.73,2.59,3.45,4.32,5.18,6.04,6.91,7.77,8.64,9.5,10.36,11.23,12.09,12.95,13.82,14.68,15.54,16.41,17.27
1.15,2.3,3.45,4.6,5.75,6.9,8.05,9.2,10.35,11.51,12.66,13.81,14.96,16.11,17.26,18.41,19.56,20.71,21.86,23.01
1.52,3.03,4.55,6.06,7.58,9.09,10.61,12.12,13.64,15.16,16.67,18.19,19.7,21.22,22.73,24.25,25.76,27.28,28.79,30.31
1.98,3.95,5.93,7.9,9.88,11.85,13.83,15.8,17.78,19.76,21.73,23.71,25.68,27.66,29.63,31.61,33.58,35.56,37.53,39.51
2.55,5.1,7.65,10.2,12.75,15.3,17.85,20.4,22.95,25.5,28.05,30.6,33.15,35.7,38.25,40.8,43.35,45.9,48.45,51
3.26,6.52,9.78,13.04,16.3,19.56,22.82,26.08,29.34,32.61,35.87,39.13,42.39,45.65,48.91,52.17,55.43,58.69,61.95,65.21
4.13,8.27,12.4,16.53,20.66,24.8,28.93,33.06,37.19,41.33,45.46,49.59,53.72,57.86,61.99,66.12,70.25,74.39,78.52,82.65
5.19,10.39,15.58,20.78,25.97,31.17,36.36,41.56,46.75,51.95,57.14,62.33,67.53,72.72,77.92,83.11,88.31,93.5,98.7,103.89
6.48,12.95,19.43,25.91,32.39,38.36,45.34,51.82,58.29,64.77,71.25,77.72,84.2,90.68,97.16,103.63,110.11,116.59,123.06,129.54
8.02,16.03,24.05,32.06,40.08,48.09,56.11,64.12,72.14,80.15,88.17,96.18,104.2,112.21,120.23,128.24,136.26,144.27,152.29,160.3
9.85,19.69,29.54,39.39,49.24,59.08,68.93,78.78,88.62,98.47,108.32,118.16,128.01,137.86,147.71,157.55,167.4,177.25,187.09,196.94
12.02,24.03,36.05,48.06,60.08,72.09,84.11,96.12,108.14,120.16,132.17,144.19,156.2,168.22,180.23,192.25,204.26,216.28,228.29,240.31
14.57,29.13,43.7,58.27,72.83,87.4,101.97,116.53,131.1,145.67,160.23,174.8,189.36,203.93,218.5,233.06,247.63,262.2,276.76,291.33
17.55,35.1,52.65,70.2,87.75,105.29,122.84,140.39,157.94,175.49,193.04,210.59,228.14,245.69,263.24,280.78,298.33,315.88,333.43,350.98
21.02,42.04,63.05,84.07,105.09,126.11,147.13,168.14,189.16,210.18,231.2,252.22,273.23,294.25,315.27,336.29,357.31,378.32,399.34,420.36
25.03,50.06,75.09,100.12,125.15,150.18,175.21,200.24,225.27,250.3,275.33,300.36,325.39,350.42,375.45,400.48,425.51,450.54,475.57,500.6
29.65,59.3,88.94,118.59,148.24,177.89,207.54,237.18,266.83,296.48,326.13,355.78,385.42,415.07,444.72,474.37,504.02,533.66,563.31,592.96
