City Daily Report by NCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
"155,018",TWN,亞洲,台灣,2022-05-18,"981,141","85,082","67,955.14","1,176",41,32.14,"41,129.35",49.30,0.00,0,0,0.00,0.00,0.00,0.00,"53,892,813","20,076,887","78,230","75,435.00",225.92,84.16,0.00,"23,855,008",42.20,8.35,80.46,"14,835",65.22
"155,017",TWN,亞洲,台灣,2022-05-17,"896,059","65,802","63,962.29","1,135",38,27.43,"37,562.72",47.58,0.00,0,0,0.00,0.00,0.00,0.00,"53,814,583","20,050,318","78,452","75,693.00",225.59,84.05,0.00,"23,855,008",42.20,8.35,80.46,"14,835",59.48
"155,016",TWN,亞洲,台灣,2022-05-16,"830,257","61,714","61,821.86","1,097",29,23.71,"34,804.31",45.99,2.06,"9,729,489","80,083",407.86,"88,440.00",0.00,0.00,"53,736,131","20,021,131","75,661","75,130.00",225.26,83.93,0.00,"23,855,008",42.20,8.35,80.46,"14,835",55.04
"155,015",TWN,亞洲,台灣,2022-05-15,"768,543","68,719","71,424.86","1,068",19,24.57,"32,217.26",44.77,2.07,"9,649,406","79,059",404.50,"87,432.00",0.82,1.20,"53,660,470","19,999,868",0,"75,472.00",224.94,83.84,26.85,"23,855,008",42.20,8.35,80.46,"14,835",50.88
"155,014",TWN,亞洲,台灣,2022-05-14,"699,824","128,954","61,607.86","1,049",81,21.86,"29,336.57",43.97,2.09,"9,570,347","89,033",401.19,"84,778.00",0.73,1.40,0,0,0,"76,312.00",0.00,0.00,26.85,"23,855,008",42.20,8.35,80.46,"14,835",46.24
"155,013",TWN,亞洲,台灣,2022-05-13,"570,870",0,"43,185.86",968,0,10.29,"23,930.82",40.58,2.09,"9,481,314","89,891",397.46,"82,267.00",0.53,1.90,"53,571,370","19,978,334","126,793","77,153.00",224.57,83.75,26.85,"23,855,008",42.20,8.35,80.46,"14,835",37.55
"155,012",TWN,亞洲,台灣,2022-05-12,"570,870","65,415","48,352.57",968,17,11.71,"23,930.82",40.58,2.11,"9,391,423","90,554",393.69,"80,824.00",0.60,1.70,"53,444,577","19,930,415","79,806","77,151.00",224.04,83.55,26.85,"23,855,008",42.20,8.35,80.46,"14,835",37.55
"155,011",TWN,亞洲,台灣,2022-05-11,"505,455","57,132","43,291.00",951,8,10.00,"21,188.63",39.87,2.13,"9,300,869","92,903",389.89,"77,181.00",0.56,1.80,"53,364,771","19,904,865","80,039","80,068.00",223.70,83.44,26.85,"23,855,008",42.20,8.35,80.46,"14,835",33.14
"155,010",TWN,亞洲,台灣,2022-05-10,"448,323","50,819","39,197.29",943,12,9.57,"18,793.66",39.53,2.15,"9,207,966","97,559",386.00,"72,993.00",0.54,1.90,"53,284,732","19,884,741","74,509","86,971.00",223.37,83.36,26.85,"23,855,008",42.20,8.35,80.46,"14,835",29.28
"155,009",TWN,亞洲,台灣,2022-05-09,"397,504","128,935","37,792.71",931,35,9.00,"16,663.34",39.03,2.19,"9,110,407","73,022",381.91,"68,354.00",0.55,1.80,"53,210,223","19,865,219","78,060","87,600.00",223.06,83.27,26.85,"23,855,008",42.20,8.35,80.46,"14,835",25.86
"155,008",TWN,亞洲,台灣,2022-05-08,"268,569",0,"19,373.43",896,0,4.00,"11,258.39",37.56,2.16,"9,037,385","60,481",378.85,"67,340.00",0.29,3.50,"53,132,163","19,848,511",0,"86,998.00",222.73,83.20,26.85,"23,855,008",42.20,8.35,80.46,"14,835",17.16
"155,007",TWN,亞洲,台灣,2022-05-07,"268,569",0,"21,812.29",896,0,4.43,"11,258.39",37.56,2.15,"8,976,904","71,458",376.31,"65,889.00",0.33,3.00,0,0,0,"86,414.00",0.00,0.00,26.85,"23,855,008",42.20,8.35,80.46,"14,835",17.16
"155,006",TWN,亞洲,台灣,2022-05-06,"268,569","36,167","23,973.71",896,10,4.86,"11,258.39",37.56,2.15,"8,905,446","79,790",373.32,"63,713.00",0.38,2.70,"53,031,302","19,832,764","126,783","85,830.00",222.31,83.14,26.85,"23,855,008",42.20,8.35,80.46,"14,835",17.16
"155,005",TWN,亞洲,台灣,2022-05-05,"232,402","29,984","20,565.14",886,5,3.71,"9,742.27",37.14,2.16,"8,825,656","65,056",369.97,"61,175.00",0.34,3.00,"52,904,519","19,809,571","100,221","85,004.00",221.78,83.04,26.85,"23,855,008",42.20,8.35,80.46,"14,835",14.73
"155,004",TWN,亞洲,台灣,2022-05-04,"202,418","28,476","17,925.71",881,5,3.29,"8,485.35",36.93,2.17,"8,760,600","63,584",367.24,"60,102.00",0.30,3.40,"52,804,298","19,793,333","128,365","85,302.00",221.36,82.97,26.85,"23,855,008",42.20,8.35,80.46,"14,835",12.70
"155,003",TWN,亞洲,台灣,2022-05-03,"173,942","40,987","15,131.43",876,8,2.86,"7,291.64",36.72,2.18,"8,697,016","65,087",364.58,"60,483.00",0.25,4.00,"52,675,933","19,774,629","78,911","81,601.00",220.82,82.90,26.85,"23,855,008",42.20,8.35,80.46,"14,835",10.78
"155,002",TWN,亞洲,台灣,2022-05-02,"132,955",0,"10,181.29",868,0,1.71,"5,573.46",36.39,2.16,"8,631,929","65,925",361.85,"60,375.00",0.17,5.90,"52,597,022","19,761,449","73,844","84,149.00",220.49,82.84,26.85,"23,855,008",42.20,8.35,80.46,"14,835",8.02
"155,001",TWN,亞洲,台灣,2022-05-01,"132,955","17,072","10,926.71",868,3,1.71,"5,573.46",36.39,2.17,"8,566,004","50,321",359.09,"60,788.00",0.18,5.60,"52,523,178","19,749,743",0,"91,208.00",220.18,82.79,30.56,"23,855,008",42.20,8.35,80.46,"14,835",8.02
"155,000",TWN,亞洲,台灣,2022-04-30,"115,883","15,130","9,226.43",865,3,1.29,"4,857.81",36.26,2.16,"8,515,683","56,230",356.98,"60,468.00",0.15,6.60,0,0,0,"93,648.00",0.00,0.00,30.56,"23,855,008",42.20,8.35,80.46,"14,835",6.87
"154,999",TWN,亞洲,台灣,2022-04-29,"100,753","12,307","7,664.71",862,2,0.86,"4,223.56",36.14,2.16,"8,459,453","62,020",354.62,"59,450.00",0.13,7.80,"52,430,493","19,737,798","121,002","96,087.00",219.79,82.74,30.56,"23,855,008",42.20,8.35,80.46,"14,835",5.85
"154,998",TWN,亞洲,台灣,2022-04-28,"88,446","11,508","6,457.57",860,2,0.57,"3,707.65",36.05,2.15,"8,397,433","57,546",352.02,"59,127.00",0.11,9.20,"52,309,491","19,722,265","102,305","102,740.00",219.28,82.68,30.56,"23,855,008",42.20,8.35,80.46,"14,835",5.02
"154,997",TWN,亞洲,台灣,2022-04-27,"76,938","8,916","5,250.29",858,2,0.29,"3,225.24",35.97,2.14,"8,339,887","66,255",349.61,"59,075.00",0.09,11.30,"52,207,186","19,707,610","102,459","108,399.00",218.85,82.61,30.56,"23,855,008",42.20,8.35,80.46,"14,835",4.24
"154,996",TWN,亞洲,台灣,2022-04-26,"68,022","6,336","4,330.29",856,0,0.29,"2,851.48",35.88,2.13,"8,273,632","64,331",346.83,"58,132.00",0.08,13.40,"52,104,727","19,692,380","96,746","111,518.00",218.42,82.55,30.56,"23,855,008",42.20,8.35,80.46,"14,835",3.64
"154,995",TWN,亞洲,台灣,2022-04-25,"61,686","5,218","3,671.86",856,0,0.29,"2,585.87",35.88,2.12,"8,209,301","68,810",344.13,"57,133.00",0.06,15.60,"52,007,981","19,679,107","123,259","114,217.00",218.02,82.49,30.56,"23,855,008",42.20,8.35,80.46,"14,835",3.22
"154,994",TWN,亞洲,台灣,2022-04-24,"56,468","5,170","3,137.29",856,0,0.29,"2,367.13",35.88,2.11,"8,140,491","48,085",341.25,"55,466.00",0.06,17.70,"51,884,722","19,663,569",0,"117,255.00",217.50,82.43,30.56,"23,855,008",42.20,8.35,80.46,"14,835",2.86
"154,993",TWN,亞洲,台灣,2022-04-23,"51,298","4,198","2,584.71",856,0,0.29,"2,150.41",35.88,2.09,"8,092,406","49,100",339.23,"53,593.00",0.05,20.70,0,0,0,"125,838.00",0.00,0.00,30.56,"23,855,008",42.20,8.35,80.46,"14,835",2.52
"154,992",TWN,亞洲,台灣,2022-04-22,"47,100","3,857","2,177.57",856,0,0.29,"1,974.43",35.88,2.07,"8,043,306","59,761",337.18,"52,645.00",0.04,24.20,"51,757,881","19,648,569","167,573","134,421.00",216.97,82.37,30.56,"23,855,008",42.20,8.35,80.46,"14,835",2.23
