Taiwan Daily Report by NCHC,,,,,,,,,,,,,,,,,
ID,location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,manufacturer
"90,271",Taiwan,TWN,2022-05-18,"53,892,813","20,076,887","18,841,185","14,974,741","78,230","75,435.00",225.92,84.16,78.98,62.77,"3,162.00","24,575",0.10,
"90,270",Taiwan,TWN,2022-05-17,"53,814,583","20,050,318","18,828,843","14,935,422","78,452","75,693.00",225.59,84.05,78.93,62.61,"3,173.00","23,654",0.10,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,269",Taiwan,TWN,2022-05-16,"53,736,131","20,021,131","18,817,584","14,897,416","75,661","75,130.00",225.26,83.93,78.88,62.45,"3,149.00","22,273",0.09,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,268",Taiwan,TWN,2022-05-15,"53,660,470","19,999,868","18,805,023","14,855,579",0,"75,472.00",224.94,83.84,78.83,62.27,"3,164.00","21,622",0.09,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,267",Taiwan,TWN,2022-05-14,0,0,0,0,0,"76,312.00",0.00,0.00,0.00,0.00,"3,199.00","21,209",0.09,
"90,266",Taiwan,TWN,2022-05-13,"53,571,370","19,978,334","18,792,077","14,800,959","126,793","77,153.00",224.57,83.75,78.78,62.05,"3,234.00","20,796",0.09,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,265",Taiwan,TWN,2022-05-12,"53,444,577","19,930,415","18,776,345","14,737,817","79,806","77,151.00",224.04,83.55,78.71,61.78,"3,234.00","17,263",0.07,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,264",Taiwan,TWN,2022-05-11,"53,364,771","19,904,865","18,764,672","14,695,234","80,039","80,068.00",223.70,83.44,78.66,61.60,"3,356.00","15,933",0.07,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,263",Taiwan,TWN,2022-05-10,"53,284,732","19,884,741","18,752,383","14,647,608","74,509","86,971.00",223.37,83.36,78.61,61.40,"3,646.00","15,730",0.07,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
"90,262",Taiwan,TWN,2022-05-09,"53,210,223","19,865,219","18,741,504","14,603,500","78,060","87,600.00",223.06,83.27,78.56,61.22,"3,672.00","14,824",0.06,Medigen; Moderna; Oxford/AstraZeneca; Pfizer/BioNTech
