City Daily Report by NCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
"166,703",GBR,歐洲,英國,2022-05-18,"22,295,739","8,041","8,834.86","177,895",127,115.29,"326,882.90","2,608.16",0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,702",GBR,歐洲,英國,2022-05-17,"22,287,698","8,596","8,876.14","177,768",185,126.86,"326,765.01","2,606.30",0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,701",GBR,歐洲,英國,2022-05-16,"22,279,102","23,820","9,135.71","177,583",158,141.00,"326,638.98","2,603.59",0.93,0,0,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,700",GBR,歐洲,英國,2022-05-15,"22,255,282",0,"9,483.29","177,425",0,148.71,"326,289.75","2,601.27",0.91,"502,015,569","155,180","7,360.16","242,478.00",0.00,0.00,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,699",GBR,歐洲,英國,2022-05-14,"22,255,282",0,"9,483.29","177,425",0,148.71,"326,289.75","2,601.27",0.89,"501,860,389","153,865","7,357.89","245,722.00",0.00,0.00,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,698",GBR,歐洲,英國,2022-05-13,"22,255,282","6,587","9,483.29","177,425",151,148.71,"326,289.75","2,601.27",0.87,"501,706,524","251,479","7,355.63","249,176.00",0.04,26.30,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,697",GBR,歐洲,英國,2022-05-12,"22,248,695","14,800","10,152.86","177,274",186,159.86,"326,193.17","2,599.05",0.86,"501,455,045","267,067","7,351.95","251,090.00",0.04,24.70,0,0,0,0.00,0.00,0.00,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,696",GBR,歐洲,英國,2022-05-11,"22,233,895","8,330","9,818.57","177,088",208,195.86,"325,976.19","2,596.33",0.83,"501,187,978","241,275","7,348.03","255,513.00",0.04,26.00,"142,656,613","53,337,395","36,016","38,057.00",209.15,78.20,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,695",GBR,歐洲,英國,2022-05-10,"22,225,565","10,413","11,046.29","176,880",284,198.86,"325,854.06","2,593.28",0.82,"500,946,703","308,036","7,344.49","262,265.00",0.04,23.70,"142,620,597","53,330,594","35,272","38,793.00",209.10,78.19,12.96,"68,207,114",40.80,12.53,81.32,0,None
"166,694",GBR,歐洲,英國,2022-05-09,"22,215,152","26,253","14,632.71","176,596",212,216.43,"325,701.39","2,589.11",0.82,"500,638,667","320,445","7,339.98","264,923.00",0.06,18.10,"142,585,325","53,323,370","31,771","38,133.00",209.05,78.18,12.96,"68,207,114",40.80,12.53,81.32,0,None
