City Daily Report by NCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
"81,545",JPN,亞洲,日本,2022-05-18,"8,470,287","42,068","36,568.00","30,176",50,33.86,"67,197.41",239.40,0.00,0,0,0.00,0.00,0.00,0.00,0,0,0,0.00,0.00,0.00,0.00,"126,050,796",48.20,18.49,84.63,0,None
"81,544",JPN,亞洲,日本,2022-05-17,"8,428,219","36,795","37,108.14","30,126",39,32.57,"66,863.67",239.00,0.00,0,0,0.00,0.00,0.00,0.00,"277,046,731","103,425,763","311,838","351,067.00",219.79,82.05,0.00,"126,050,796",48.20,18.49,84.63,0,None
"81,543",JPN,亞洲,日本,2022-05-16,"8,391,424","21,673","37,850.29","30,087",26,34.29,"66,571.77",238.69,0.96,0,0,0.00,0.00,0.00,0.00,"276,734,893","103,412,386","577,195","355,018.00",219.54,82.04,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,542",JPN,亞洲,日本,2022-05-15,"8,369,751","34,892","38,804.57","30,061",25,35.29,"66,399.83",238.48,0.98,0,0,0.00,0.00,0.00,0.00,"276,157,698","103,389,560",0,"326,528.00",219.08,82.02,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,541",JPN,亞洲,日本,2022-05-14,"8,334,859","39,330","39,878.00","30,036",30,35.43,"66,123.02",238.29,1.02,0,0,0.00,0.00,0.00,0.00,0,0,0,"334,944.00",0.00,0.00,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,540",JPN,亞洲,日本,2022-05-13,"8,295,529","39,570","39,863.43","30,006",35,35.00,"65,811.00",238.05,1.09,0,0,0.00,0.00,0.00,0.00,0,0,0,"343,359.00",0.00,0.00,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,539",JPN,亞洲,日本,2022-05-12,"8,255,959","41,648","37,287.86","29,971",32,35.29,"65,497.08",237.77,1.14,0,0,0.00,0.00,0.00,0.00,"275,201,140","103,347,146","278,142","351,775.00",218.33,81.99,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,538",JPN,亞洲,日本,2022-05-11,"8,214,311","45,849","34,297.00","29,939",41,33.29,"65,166.67",237.52,1.18,"47,944,597","174,645",380.36,"121,270.00",0.28,3.50,"274,922,998","103,335,155","333,735","338,396.00",218.10,81.98,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,537",JPN,亞洲,日本,2022-05-10,"8,168,462","41,990","31,520.57","29,898",51,30.29,"64,802.94",237.19,1.20,"47,769,952","134,897",378.97,"109,559.00",0.29,3.50,"274,589,263","103,319,841","339,499","317,076.00",217.84,81.97,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,536",JPN,亞洲,日本,2022-05-09,"8,126,472","28,353","29,868.71","29,847",33,30.86,"64,469.82",236.79,1.21,"47,635,055","144,463",377.90,"98,302.00",0.30,3.30,"274,249,764","103,302,027",0,"294,932.00",217.57,81.95,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,535",JPN,亞洲,日本,2022-05-08,"8,098,119","42,406","28,569.43","29,814",26,30.43,"64,244.89",236.52,1.20,"47,490,592","55,066",376.76,"95,449.00",0.30,3.30,0,0,0,"267,322.00",0.00,0.00,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,534",JPN,亞洲,日本,2022-05-07,"8,055,713","39,228","26,351.43","29,788",27,31.57,"63,908.47",236.32,1.09,"47,435,526","86,295",376.32,"94,089.00",0.28,3.60,0,0,0,"275,498.00",0.00,0.00,45.37,"126,050,796",48.20,18.49,84.63,0,None
"81,533",JPN,亞洲,日本,2022-05-06,"8,016,485","21,541","24,315.86","29,761",37,29.71,"63,597.26",236.10,0.86,"47,349,231","215,284",375.64,"91,081.00",0.27,3.70,0,0,0,"283,674.00",0.00,0.00,45.37,"126,050,796",48.20,18.49,84.63,0,None
