City Daily Report by NCHC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ID,iso_code,洲名,國家,日期,總確診數,新增確診數,七天移動平均新增確診數,總死亡數,新增死亡數,七天移動平均新增死亡數,每百萬人確診數,每百萬人死亡數,傳染率,新增檢驗件數,總檢驗件數,每千人檢驗件數,七天移動平均新增檢驗件數,陽性率,每確診案例相對檢驗數量,疫苗總接種總劑數,疫苗總接種人數,疫苗新增接種劑數,七天移動平均疫苗新增接種劑數,每百人接種疫苗劑數,每百人接種疫苗人數,疫情控管指數,總人口數,中位數年紀,70歲以上人口比例,平均壽命,解除隔離數,解封指數
"174,352",OWID_WRL,全球,全球,2022-05-18,"523,452,560","702,686","559,638.00","6,271,641","2,381","1,633.00","66,470.46",796.40,0.00,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,149.13,65.66,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,351",OWID_WRL,全球,全球,2022-05-17,"522,749,874","663,484","558,201.57","6,269,316","1,941","1,662.29","66,381.23",796.11,0.00,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,149.05,65.65,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,350",OWID_WRL,全球,全球,2022-05-16,"522,086,681","556,658","558,244.00","6,267,383","1,754","1,702.86","66,297.01",795.86,0.98,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,148.99,65.65,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,349",OWID_WRL,全球,全球,2022-05-15,"521,530,023","348,000","578,934.00","6,265,629",626,"1,733.14","66,226.32",795.64,0.98,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,148.88,65.63,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,348",OWID_WRL,全球,全球,2022-05-14,"521,182,023","465,499","566,432.43","6,265,003",894,"1,744.00","66,182.13",795.56,0.98,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,148.56,65.57,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,347",OWID_WRL,全球,全球,2022-05-13,"520,716,524","538,946","549,605.00","6,264,112","1,961","1,763.00","66,123.02",795.45,0.97,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647",0,0.00,148.50,65.56,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,346",OWID_WRL,全球,全球,2022-05-12,"520,177,578","642,193","563,041.43","6,262,151","1,874","1,814.86","66,054.58",795.20,0.97,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","8,065,356","7,243,563.00",148.43,65.56,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,345",OWID_WRL,全球,全球,2022-05-11,"519,535,385","692,631","556,006.14","6,260,277","2,586","1,924.71","65,973.03",794.96,0.98,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","8,853,430","7,121,870.00",148.34,65.53,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,344",OWID_WRL,全球,全球,2022-05-10,"518,842,754","663,781","544,922.14","6,257,691","2,225","2,089.29","65,885.08",794.63,0.98,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","7,390,761","6,872,935.00",148.23,65.52,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,343",OWID_WRL,全球,全球,2022-05-09,"518,178,973","701,488","549,578.86","6,255,466","1,966","2,177.71","65,800.79",794.35,0.97,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","6,518,273","6,803,615.00",148.13,65.51,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,342",OWID_WRL,全球,全球,2022-05-08,"517,477,485","260,489","517,159.00","6,253,500",702,"2,154.57","65,711.71",794.10,0.94,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","5,991,849","6,708,093.00",148.06,65.50,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,341",OWID_WRL,全球,全球,2022-05-07,"517,216,996","347,707","523,186.86","6,252,798","1,027","2,185.00","65,678.64",794.01,0.92,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","6,820,615","6,860,291.00",147.96,65.42,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,340",OWID_WRL,全球,全球,2022-05-06,"516,869,289","633,001","525,328.86","6,251,771","2,324","2,226.86","65,634.48",793.88,0.90,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","8,330,349","7,147,335.00",147.89,65.41,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,339",OWID_WRL,全球,全球,2022-05-05,"516,236,288","592,946","530,785.00","6,249,447","2,643","2,286.00","65,554.10",793.58,0.88,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","7,202,343","7,689,372.00",147.75,65.39,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,338",OWID_WRL,全球,全球,2022-05-04,"515,643,342","615,043","550,565.57","6,246,804","3,738","2,326.86","65,478.81",793.25,0.87,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","6,371,874","8,173,662.00",147.67,65.37,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
"174,337",OWID_WRL,全球,全球,2022-05-03,"515,028,299","696,378","583,208.57","6,243,066","2,844","2,300.43","65,400.70",792.77,0.86,0,0,0.00,0.00,0.00,0.00,"2,147,483,647","2,147,483,647","6,980,700","9,097,575.00",147.62,65.36,0.00,"2,147,483,647",30.90,5.36,72.58,0,None
