Taiwan Daily Report by NCHC,,,,,,,,,,,,,,,,,
ID,location,iso_code,date,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,daily_vaccinations_raw,daily_vaccinations,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,daily_vaccinations_per_million,daily_people_vaccinated,daily_people_vaccinated_per_hundred,manufacturer
"101,454",World,OWID_WRL,2022-05-18,"2,147,483,647","2,147,483,647","2,147,483,647","1,936,505,513",0,0.00,149.13,65.66,59.72,24.59,0.00,0,0.00,
"101,453",World,OWID_WRL,2022-05-17,"2,147,483,647","2,147,483,647","2,147,483,647","1,934,306,420",0,0.00,149.05,65.65,59.69,24.56,0.00,0,0.00,
"101,452",World,OWID_WRL,2022-05-16,"2,147,483,647","2,147,483,647","2,147,483,647","1,933,146,745",0,0.00,148.99,65.65,59.68,24.55,0.00,0,0.00,
"101,451",World,OWID_WRL,2022-05-15,"2,147,483,647","2,147,483,647","2,147,483,647","1,926,705,143",0,0.00,148.88,65.63,59.67,24.47,0.00,0,0.00,
"101,450",World,OWID_WRL,2022-05-14,"2,147,483,647","2,147,483,647","2,147,483,647","1,914,927,536",0,0.00,148.56,65.57,59.60,24.32,0.00,0,0.00,
"101,449",World,OWID_WRL,2022-05-13,"2,147,483,647","2,147,483,647","2,147,483,647","1,914,026,368",0,0.00,148.50,65.56,59.58,24.31,0.00,0,0.00,
"101,448",World,OWID_WRL,2022-05-12,"2,147,483,647","2,147,483,647","2,147,483,647","1,912,330,025","8,065,356","7,243,563.00",148.43,65.56,59.56,24.28,920.00,"1,239,816",0.02,
"101,447",World,OWID_WRL,2022-05-11,"2,147,483,647","2,147,483,647","2,147,483,647","1,903,675,222","8,853,430","7,121,870.00",148.34,65.53,59.51,24.17,904.00,"1,270,932",0.02,
"101,446",World,OWID_WRL,2022-05-10,"2,147,483,647","2,147,483,647","2,147,483,647","1,900,501,663","7,390,761","6,872,935.00",148.23,65.52,59.48,24.13,873.00,"1,288,809",0.02,
"101,445",World,OWID_WRL,2022-05-09,"2,147,483,647","2,147,483,647","2,147,483,647","1,897,724,467","6,518,273","6,803,615.00",148.13,65.51,59.45,24.10,864.00,"1,324,209",0.02,
"101,444",World,OWID_WRL,2022-05-08,"2,147,483,647","2,147,483,647","2,147,483,647","1,895,172,836","5,991,849","6,708,093.00",148.06,65.50,59.43,24.07,852.00,"1,368,738",0.02,
"101,443",World,OWID_WRL,2022-05-07,"2,147,483,647","2,147,483,647","2,147,483,647","1,894,197,459","6,820,615","6,860,291.00",147.96,65.42,59.38,24.05,871.00,"1,371,299",0.02,
"101,442",World,OWID_WRL,2022-05-06,"2,147,483,647","2,147,483,647","2,147,483,647","1,893,250,396","8,330,349","7,147,335.00",147.89,65.41,59.35,24.04,908.00,"1,398,426",0.02,
"101,441",World,OWID_WRL,2022-05-05,"2,147,483,647","2,147,483,647","2,147,483,647","1,887,062,448","7,202,343","7,689,372.00",147.75,65.39,59.32,23.96,976.00,"1,478,677",0.02,
